id,companies_ID,companyName,year,meanHourly,medianHourly,meanBonus,medianBonus,reportLink,headcountBand,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,boardExecMale,boardExecFemale,boardNonExecMale,boardNonExecFemale,comment,errors,late,sourceError,quartileError,dataMissing,reportRemoved,errorAcknowledged,incomplete,noNarrative,updated_at,govtPortalAvailable,govtDiscrepancy
2,1,3M,2022,7.40000,2.00000,20.00000,-45.00000,https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf,,,,,,9.00000,14.00000,96.00000,99.00000,35.00000,65.00000,31.00000,69.00000,31.00000,69.00000,29.00000,71.00000,,,,,,,"Report is not available any more, companies should keep reports for at least 3 years after publication per the legislation",1,0,0,0,0,1,0,0,0,"2026-03-16 15:16:48",0,0
3,2,"A&L Goodbody (excluding equity partners)",2022,20.90000,22.70000,41.60000,35.10000,https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF,,9.20000,9.40000,2.80000,15.90000,54.70000,62.80000,84.50000,81.40000,66.40000,33.60000,66.20000,33.80000,60.60000,39.40000,57.90000,42.10000,,,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:42:27",0,0
4,3,AA,2022,6.00000,16.00000,-36.00000,-51.00000,https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf,,-39.00000,2.00000,17.00000,14.00000,76.00000,80.00000,28.00000,37.00000,53.00000,47.00000,24.00000,76.00000,19.00000,81.00000,27.00000,73.00000,31.00000,69.00000,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:42:31",0,0
5,4,"Abbott Ireland (all legal entities)",2022,12.20000,7.70000,23.20000,5.70000,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf,,-22.00000,-19.30000,4.70000,-2.30000,72.90000,75.90000,57.20000,51.90000,51.30000,48.70000,52.00000,48.00000,48.90000,51.10000,37.90000,62.10000,,,,,,,"Results are for the combined entities of Abbott Ireland and Abbott Rapid DX International. Reports for each entity are also available.",0,0,0,0,0,0,0,0,0,"2026-03-09 17:15:54",0,0
6,5,"AbbVie Sligo",2022,11.60000,10.90000,19.10000,18.20000,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf,,41.90000,41.80000,5.50000,11.30000,86.00000,94.00000,74.40000,84.20000,36.30000,63.70000,30.60000,69.40000,32.80000,67.20000,28.10000,71.90000,32.00000,68.00000,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:42:49",0,0
7,6,"AbbVie Westport (Allergan)",2022,4.20000,10.90000,5.60000,-56.40000,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf,,83.70000,86.50000,-3.30000,-2.70000,91.60000,92.10000,90.10000,93.60000,41.40000,58.60000,37.20000,62.80000,50.70000,49.30000,42.20000,57.80000,43.00000,57.00000,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:42:52",0,0
8,7,"ABP Food Group: ABP Ireland",2022,18.40000,8.30000,81.70000,0.00000,https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf,,,,,,83.00000,86.70000,0.00000,0.00000,31.30000,68.70000,26.10000,73.90000,13.40000,86.60000,17.00000,83.00000,,,,,,,"Report is not available any more, companies should keep reports for at least 3 years after publication per the legislation",1,0,0,0,0,1,0,0,0,"2026-03-09 15:45:02",0,0
9,8,"ABP Food Group: C&D Foods",2022,20.40000,0.00000,71.40000,0.00000,https://web.archive.org/web/20240113132645/https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf,,,,,,93.00000,93.10000,0.00000,0.00000,57.60000,42.40000,21.00000,79.00000,44.90000,55.10000,33.30000,66.70000,,,,,,,"Report is not available any more, companies should keep reports for at least 3 years after publication per the legislation",1,0,0,0,0,1,0,0,0,"2026-03-12 12:34:28",0,0
10,9,"ABP Food Group: Irish Country Meats",2022,15.10000,7.00000,64.80000,0.00000,https://web.archive.org/web/20250501171500/https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf,,,,,,66.90000,72.80000,0.00000,0.00000,41.10000,58.90000,23.00000,77.00000,21.90000,78.10000,21.20000,78.80000,,,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:58:34",0,0
11,10,Abtran,2022,12.60000,1.50000,25.80000,0.00000,https://www.abtran.com/wp-content/uploads/2022/12/Abtran-Gender-Pay-Gap-Report-2022.pdf,,-24.31000,-0.95000,25.67000,24.87000,39.83000,40.39000,1.56000,0.70000,59.33000,40.67000,61.48000,38.52000,58.61000,41.39000,50.00000,50.00000,,,,,,,,0,0,0,0,0,0,0,0,0,"2026-03-09 15:43:00",0,0
